id,email,date_subscribed
1,testing@example.com,2026-01-28 22:08:25.619847
2,testing@example.comgZGnslng,2026-01-28 22:09:27.379468
3,testing@example.com' AND 2*3*8=6*8 AND 'ovU3'='ovU3,2026-01-28 22:09:28.023756
4,"testing@example.com"" AND 2*3*8=6*8 AND ""NSK4""=""NSK4",2026-01-28 22:09:28.347791
5,testing@example.com%' AND 2*3*8=6*8 AND 'dAyC'!='dAyC%,2026-01-28 22:09:28.679486
6,-1 OR 2+410-410-1=0+0+0+1,2026-01-28 22:09:29.003285
7,-1 OR 3+410-410-1=0+0+0+1,2026-01-28 22:09:29.332421
8,testing@example.com'||',2026-01-28 22:09:29.667224
9,"if(now()=sysdate(),sleep(15),0)",2026-01-28 22:09:29.995959
10,"testing@example.com0'XOR(if(now()=sysdate(),sleep(15),0))XOR'Z",2026-01-28 22:09:30.324566
11,"testing@example.com0""XOR(if(now()=sysdate(),sleep(15),0))XOR""Z",2026-01-28 22:09:30.655665
12,"(select(0)from(select(sleep(15)))v)/*'+(select(0)from(select(sleep(15)))v)+'""+(select(0)from(select(sleep(15)))v)+""*/",2026-01-28 22:09:30.987090
13,testing@example.com-1 waitfor delay '0:0:15' --,2026-01-28 22:09:31.318825
14,testing@example.comoCNagshW'; waitfor delay '0:0:15' --,2026-01-28 22:09:31.646757
15,testing@example.comdBKYIbeS' OR 675=(SELECT 675 FROM PG_SLEEP(15))--,2026-01-28 22:09:31.978162
16,testing@example.com7u7TLhvW') OR 111=(SELECT 111 FROM PG_SLEEP(15))--,2026-01-28 22:09:32.310359
17,testing@example.comcQiUIQmg')) OR 328=(SELECT 328 FROM PG_SLEEP(15))--,2026-01-28 22:09:32.641464
18,"testing@example.com'||DBMS_PIPE.RECEIVE_MESSAGE(CHR(98)||CHR(98)||CHR(98),15)||'",2026-01-28 22:09:32.967043
19,"testing@example.com'""",2026-01-28 22:09:33.615871
20,"testing@example.com����%2527%2522\'\""",2026-01-28 22:09:33.945369
21,@@nXFrD,2026-01-28 22:09:34.283387
22,testing@example.comwz4x7g0T,2026-01-28 22:11:05.861130
23,testing@example.com' AND 2*3*8=6*8 AND 'V9Az'='V9Az,2026-01-28 22:11:10.025446
24,"testing@example.com"" AND 2*3*8=6*8 AND ""869f""=""869f",2026-01-28 22:11:10.673604
25,testing@example.com%' AND 2*3*8=6*8 AND '63Pu'!='63Pu%,2026-01-28 22:11:11.012585
26,-1 OR 2+168-168-1=0+0+0+1,2026-01-28 22:11:11.355192
27,-1 OR 3+168-168-1=0+0+0+1,2026-01-28 22:11:11.686498
28,testing@example.com'|||',2026-01-28 22:11:12.347512
29,testing@example.com'||''||',2026-01-28 22:11:12.671452
30,testing@example.comLCTWrB4Z'; waitfor delay '0:0:15' --,2026-01-28 22:11:14.615907
